Date,"Order #",Status,Customer,Product(s),"Items Sold",Coupon(s),"N. Revenue"
"2020-11-18 16:44:26",6044,processed,returning,"5× KB01 Hearty Meal Box, 2× KB01 Hearty Meal Box, 5× KB01 Hearty Meal Box, 6× Grilled Chicken Grain Bowl Snack Box, 6× Grilled Chicken Garlic Aglio Olio Snack Box",24,,370.8
"2020-11-18 16:37:40",6043,processed,returning,"1× BC02 Red Velvet Cake",1,,59
"2020-11-18 16:24:12",6041,processed,returning,"1× *A03 Flourless Chocolate Logcake",1,,58
"2020-11-18 15:28:00",6040,processed,returning,"1× BC02 Choc Banana Espresso Cake",1,,59
"2020-11-18 15:26:42",6039,processed,returning,"1× *A02 Lychee Champagne Logcake",1,,68
"2020-11-18 15:25:10",6038,processed,returning,"1× BC02 Strawberry Fields Cake",1,,59
"2020-11-18 15:23:12",6037,processed,returning,"1× BC01 Carrot Walnut Cake - 8""R",1,,59
"2020-11-18 15:12:48",6036,processed,returning,"1× BC02 Real Dark Chocolate Cake",1,,45
"2020-11-18 15:12:48",6035,processed,new,"1× BC02 Lychee Rose Cake, 1× BC06 Cherry Chocolate Pound Cake 500g, 1× BB01 Wholewheat Sourdough",3,,83.5
"2020-11-18 15:11:36",6034,processed,new,"1× BC03 Sugarless Carrot Walnut Cake",1,,66
"2020-11-18 15:01:23",6033,processed,new,"1× BC03 Vegan Matcha Chocolate Cheesecake",1,novbd15cake,38.25
"2020-11-18 14:37:50",6030,processed,new,"1× BC02 Lychee Rose Cake",1,,85
"2020-11-18 14:33:56",6029,processed,returning,"1× BC02 Chocolate Matcha Cake",1,,63
"2020-11-18 14:29:49",6028,processed,new,"1× BC02 Real Dark Chocolate Cake, 3× BB01 Wholewheat Sourdough",4,,82.5
"2020-11-18 14:28:05",6027,processed,returning,"1× BC02 Chocolate Fudge Cake",1,,63
"2020-11-18 14:23:48",6026,processed,returning,"1× BC02 Black Forest Cake",1,,59
"2020-11-18 14:08:11",6025,processed,new,"1× BC02 Caramel Sea Salt Tiramisu",1,,63
"2020-11-18 13:38:14",6014,processed,new,"1× BC03 Eggless Carrot Walnut Cake, 1× Red Rooibos Tea, 1× Lemongrass Tea",3,,81
"2020-11-18 13:36:36",6013,processed,new,"1× BC07 Almond Semolina Sugee Butter Cake, 1× BC02 Caramel Sea Salt Tiramisu",2,,81
"2020-11-18 13:22:49",6012,processed,new,"1× BC03 Vegan Matcha Chocolate Cheesecake, 1× *C02 Assorted Premium Butter Shortbread",2,,87
"2020-11-18 13:20:22",6011,processed,returning,"1× BC02 Carrot Walnut Cake",1,,59
"2020-11-18 13:09:20",6010,processed,new,"1× *A04 Hojicha Matcha Yuzu Block Cake",1,"wel10asc01, wel10asc2, wel10asc3",59
"2020-11-18 12:59:46",6009,processed,returning,"1× BC02 Choc Banana Espresso Cake",1,,59
"2020-11-18 12:53:53",6008,processed,new,"1× BC02 Carrot Walnut Cake",1,,59
"2020-11-18 12:33:53",6007,processed,returning,"1× BC02 Eggless Chocolate Truffle",1,,45
"2020-11-18 12:19:14",6006,processed,new,"1× BB01 Rye Sourdough",1,,6.3
"2020-11-18 12:16:18",6005,processed,returning,"1× BC02 Chocolate Matcha Cake",1,,63
"2020-11-18 12:14:05",6004,processed,returning,"1× BC02 Caramel Sea Salt Tiramisu",1,,63
"2020-11-18 12:00:24",6003,pending,new,"1× BC02 Strawberry Fields Cake",1,,59
"2020-11-18 11:45:28",6002,processed,new,"1× *A02 Lychee Champagne Logcake",1,welcome10,61.2
