"Product Title",SKU,"Items Sold","N. Revenue",Orders,Category,Variations,Status,Stock
"SP02 Awesome Box",1114,367,5478,12,"Mix &amp; Match",0,N/A,N/A
"Delivery Fee",,279,3117.45,5,Bakery,0,N/A,N/A
"*A03 Flourless Chocolate Logcake",XMAS009,273,14166.79,145,"1. Christmas Cake",0,N/A,N/A
"*C01 Assorted Christmas Cookies",XMAS001,226,5569.98,118,"2. Christmas Cookies",0,N/A,N/A
"BC01 Carrot Walnut Cake - 8""R",149-1,120,6854.62,117,"1. Signature Cakes, Same Day Order",0,N/A,N/A
"*H01 Rosemary & Butter-Roasted Turkey",XMAS024-1,119,17462.17,116,"4. Christmas Hot Food",0,N/A,N/A
"KB01 Hearty Meal Box",708,116,1826.91,24,"Burgers/Sandwiches, Sharing Platters &amp; Trays",0,N/A,N/A
"BC02 Carrot Walnut Cake",159,115,7171.29,114,"1. Signature Cakes",5,N/A,N/A
"BC02 Ondeh Ondeh Cake",185,92,4767.3,92,"1. Signature Cakes",6,N/A,N/A
"*A01 Butterscotch Maple Carrot Logcake",XMAS010,90,5303.74,81,"1. Christmas Cake",0,N/A,N/A
"*H05 Classic Sausage Platter",XMAS026,85,4667.79,79,"4. Christmas Hot Food",0,N/A,N/A
"BC03 Vegan Earl Grey Belgian Chocolate Berries Cake",XMAS017,81,4695.05,63,"1. Christmas Cake, 2. Special Diet Cakes, Vegan",0,N/A,N/A
"*A02 Lychee Champagne Logcake",XMAS011,81,5032,78,"1. Christmas Cake",0,N/A,N/A
"*C06 Tea Cookies Collection",XMAS006,81,2690.41,38,"2. Christmas Cookies",0,N/A,N/A
"*X03 Christmas Tea & Cookies Hamper",XMAS040,80,3082.5,12,"5. Hamper for Gifts",0,N/A,N/A
"*B03 Christmas Brioche Wreath with Spinach Onion Cheese Dip",XMAS023,74,1968.7,73,"3. Christmas Bread &amp; Pastries",0,N/A,N/A
"*A09 Classic Fruit Cake",XMAS015,69,2585.19,54,"1. Christmas Cake",0,N/A,N/A
"BB03 Plain Ciabatta",245,69,336.63,37,"3. Rustic Loaves &amp; Buns, Same Day Order",0,N/A,N/A
"*A04 Hojicha Matcha Yuzu Block Cake",XMAS012-1,69,5571.93,67,"*Christmas Catalog*, 1. Christmas Cake",0,N/A,N/A
"BB01 Wholewheat Sourdough",305,68,426.8,39,"1. Sourdough",0,N/A,N/A
"*A11 Christmas Brownies Tin",XMAS018,66,2075.04,45,"1. Christmas Cake",0,N/A,N/A
"CORP - Customised",1114-1,65,619.3,4,"Mix &amp; Match",0,N/A,N/A
"BC02 Chocolate Matcha Cake",165,64,4021.45,62,"1. Signature Cakes",5,N/A,N/A
"*H12 Winter Truffle Mash Potato",XMAS031,64,1766.85,60,"4. Christmas Hot Food",0,N/A,N/A
"*H06 Morrocan Chicken Rice Pilaf",XMAS027,62,3344.77,59,"4. Christmas Hot Food",0,N/A,N/A
"*H10 Truffle Portebello Mushroom & Feta Quiche",XMAS036,59,2558.88,56,"4. Christmas Hot Food",0,N/A,N/A
"BC02 Gula Melaka Pandan Cake",182,58,3647.7,55,"1. Signature Cakes",5,N/A,N/A
